Ticker,px ini,yield ini,spread ini,Cpn,Company Corp Ticker,Grade,Delta Net Lev YoY,Delta Net Lev QoQ,GD YoY,GD QoQ,Debt/MC YoY,Debt/MC QoQ,Debt/MC,Delta D/E YoY,Delta D/E QoQ,Debt/Equity,Delta 1y E/A,E/A,5y Asset growth - Rev growth,Asset/Rev YoY,Delta EBITDA Margin YoY,Delta EBITDA Margin QoQ,Revenue - 5yr CAGR,Rev YoY,Rev QoQ,Delta WC/Rev 1Q,Delta WC/Rev 1y,Delta 1Q Inv days,Delta 1y Inv days,Int Cov YoY,Int Cov QoQ,Cash/STD YoY,Cash/STD QoQ,Cash/STD last Q,STD/TD YoY,STD/TD QoQ,STD/TD Last Q,Cash YoY,Cash QoQ,FCF score last 5Q,Delta_to_1y_tight,Delta_to_1y_wide,Yrs Today to Mty Dt,std_Delta Net Lev YoY,z_Delta Net Lev YoY,std_Delta Net Lev QoQ,z_Delta Net Lev QoQ,std_GD YoY,z_GD YoY,std_GD QoQ,z_GD QoQ,std_Debt/MC YoY,z_Debt/MC YoY,std_Debt/MC QoQ,z_Debt/MC QoQ,std_Debt/MC,z_Debt/MC,std_Delta D/E YoY,z_Delta D/E YoY,std_Delta D/E QoQ,z_Delta D/E QoQ,std_Debt/Equity,z_Debt/Equity,std_Delta 1y E/A,z_Delta 1y E/A,std_E/A,z_E/A,std_5y Asset growth - Rev growth,z_5y Asset growth - Rev growth,std_Asset/Rev YoY,z_Asset/Rev YoY,std_Delta EBITDA Margin YoY,z_Delta EBITDA Margin YoY,std_Delta EBITDA Margin QoQ,z_Delta EBITDA Margin QoQ,std_Revenue - 5yr CAGR,z_Revenue - 5yr CAGR,std_Rev YoY,z_Rev YoY,std_Rev QoQ,z_Rev QoQ,std_Delta WC/Rev 1Q,z_Delta WC/Rev 1Q,std_Delta WC/Rev 1y,z_Delta WC/Rev 1y,std_Delta 1Q Inv days,z_Delta 1Q Inv days,std_Delta 1y Inv days,z_Delta 1y Inv days,std_Int Cov YoY,z_Int Cov YoY,std_Int Cov QoQ,z_Int Cov QoQ,std_Cash/STD YoY,z_Cash/STD YoY,std_Cash/STD QoQ,z_Cash/STD QoQ,std_Cash/STD last Q,z_Cash/STD last Q,std_STD/TD YoY,z_STD/TD YoY,std_STD/TD QoQ,z_STD/TD QoQ,std_STD/TD Last Q,z_STD/TD Last Q,std_Cash YoY,z_Cash YoY,std_Cash QoQ,z_Cash QoQ,std_FCF score last 5Q,z_FCF score last 5Q,std_px ini,z_px ini,std_Cpn,z_Cpn,std_Delta_to_1y_tight,z_Delta_to_1y_tight,std_Delta_to_1y_wide,z_Delta_to_1y_wide,std_yield ini,z_yield ini,std_spread ini,z_spread ini,operations_score,liquidity_score,capital_structure_score,market_score,final_score
QUANTA 0 09/16/29,103.32,-0.530790384,-414.8537903,0.0,QUANTA,HY,-0.149241404,0.157814663,13.15085458,-8.636391485,0.001811993,-0.016534056,0.185989633,-11.60720913,-18.98208486,90.5556673,-2.616880349,21.41778087,2.191730638,-0.144501218,-0.960810029,-0.305698874,6.501491656,25.88504256,1.093460619,2.886195903,-6.711581029,0.610901786,7.108006462,-0.805173972,0.155336014,9.557319309,-13.15167089,89.37153154,2.941568472,-1.374762064,83.55588483,28.48845377,-21.93662526,-4,230.5132097,249.6397903,3.600273785,-0.02708591308134627,-0.02708591308134627,-0.025632181958346847,-0.025632181958346847,0.0030609983124072863,0.0030609983124072863,-1.3148826923535426,-1.3148826923535426,0.07162561518764742,0.07162561518764742,-0.0025985376810656493,-0.0025985376810656493,-0.5041613840876495,-0.5041613840876495,0.07861499528890058,0.07861499528890058,-0.641765629520846,-0.641765629520846,-0.33653661483306957,-0.33653661483306957,-0.2769748109446558,-0.2769748109446558,-0.7505469293003363,-0.7505469293003363,0.36996977535492487,0.36996977535492487,-0.2607967235014875,-0.2607967235014875,0.05803975467468296,0.05803975467468296,-0.03410882696474049,-0.03410882696474049,-0.4475684879936809,-0.4475684879936809,0.1998709680351658,0.1998709680351658,-0.31188143228787746,-0.31188143228787746,-0.06375934301513382,-0.06375934301513382,-0.11428273009271427,-0.11428273009271427,-0.014645517099133748,-0.014645517099133748,0.008345384632752908,0.008345384632752908,-0.23963473679953667,-0.23963473679953667,-0.0919063210909598,-0.0919063210909598,-0.1955348296803688,-0.1955348296803688,-0.15973265077093796,-0.15973265077093796,-0.2605234882799346,-0.2605234882799346,0.42984996414660853,0.42984996414660853,-0.30165087071489344,-0.30165087071489344,4.387393653914941,4.387393653914941,-0.027393172536330883,-0.027393172536330883,-0.18221452475461636,-0.18221452475461636,0.15564019730017792,0.15564019730017792,0.594279577881088,0.594279577881088,-3.0537677556358513,-3.0537677556358513,0.18903943937663634,0.18903943937663634,0.6546544836653423,0.6546544836653423,-1.2429206398535753,-1.2429206398535753,-1.173456318492913,-1.173456318492913,-0.1412588969483048,-0.2336721484674837,0.09986489872977011,-0.7390795714250628,-0.019687932421254578
HYUELE 2 3/8 01/19/31,91.592,4.280646088,51.12151337,2.375,HYUELE,IG,-0.338933051,0.0,9.983390177,0.0,-0.171128103,-0.06951255,0.041284636,-7.851711933,0.0,26.5822549,5.702940706,67.37377221,-0.6159958765931034,4.550589805,4.174763358,0.0,24.94713818,24.73398405,0.0,0.0,27.71692345,-14.0374394,0.0,23.39842729,0.0,-42.41564327,0.0,110.4749902,13.8760255,0.0,36.82340876,1.630120829,0.0,0,0.0,121.1384866,4.941820671,-0.047942955596470715,-0.047942955596470715,-0.0532222198055433,-0.0532222198055433,-0.0730455143457251,-0.0730455143457251,-0.17477122829671363,-0.17477122829671363,0.03980197917077256,0.03980197917077256,-0.025454048392689735,-0.025454048392689735,-0.5586073172160704,-0.5586073172160704,0.08001849565406703,0.08001849565406703,0.0020612412344591827,0.0020612412344591827,-0.7033458698151406,-0.7033458698151406,0.9377457003956366,0.9377457003956366,1.4715399857048876,1.4715399857048876,0.0,0.0,-0.028432721925226317,-0.028432721925226317,0.35984559103927527,0.35984559103927527,-0.0051645314908405375,-0.0051645314908405375,0.5641553003739314,0.5641553003739314,0.1844519024030639,0.1844519024030639,-0.40197469470177327,-0.40197469470177327,-0.10921094682538934,-0.10921094682538934,0.31005095449632164,0.31005095449632164,-0.18260871324018862,-0.18260871324018862,-0.08112946197727004,-0.08112946197727004,1.9268324579747824,1.9268324579747824,-0.10699842790044804,-0.10699842790044804,-0.4570520423512698,-0.4570520423512698,-0.12586897304490086,-0.12586897304490086,-0.24198954629230326,-0.24198954629230326,1.6742460553308292,1.6742460553308292,0.01754527352133235,0.01754527352133235,1.3077439672963902,1.3077439672963902,-0.19735012560785564,-0.19735012560785564,-0.12133311833507592,-0.12133311833507592,0.8892001969785357,0.8892001969785357,-0.29261911586580025,-0.29261911586580025,-1.8143136323475701,-1.8143136323475701,-0.23358815431233654,-0.23358815431233654,0.020592541550447204,0.020592541550447204,-0.4679020750328189,-0.4679020750328189,-0.42772932011892,-0.42772932011892,0.21309231687082497,0.1209511744112471,0.38873446690960534,-0.24820525604879104,0.29544232127919867
JGSPM 4 1/8 07/09/30,99.026,4.369472242,61.44395447,4.125,JGSPM,HY,-0.441025337,-0.352878443,-4.139017171,-4.984132087,-0.009894524,-0.83443444,1.970103036,-8.57486902,-2.401267461,82.52123772,1.20193742,47.79874709,-3.439424585,5.267094619,4.932136843,-3.667936613,5.786752866,-6.30570793,-13.67969242,20.67376928,53.01467702,-2.723661445,-2.989678169,0.749650059,-1.337031883,63.97691915,10.4908518,59.79706391,-12.64061002,-4.178296343,17.95720121,-7.748616547,-14.83290735,-2,8.112954468,81.66504553,4.410677618,-0.05916824244090539,-0.05916824244090539,-0.11491439347783228,-0.11491439347783228,-0.41237282377843143,-0.41237282377843143,-0.8327388691374169,-0.8327388691374169,0.06947143611263777,0.06947143611263777,-0.3554498472625243,-0.3554498472625243,0.1671196431546745,0.1671196431546745,0.07974823816685922,0.07974823816685922,-0.07938400182838144,-0.07938400182838144,-0.3826042391457866,-0.3826042391457866,0.2805848099184969,0.2805848099184969,0.5250386501501803,0.5250386501501803,-0.3720388291205515,-0.3720388291205515,0.007027703637154652,0.007027703637154652,0.40435468882753967,0.40435468882753967,-0.3524534819441151,-0.3524534819441151,-0.4867711386229891,-0.4867711386229891,-0.23134194619968684,-0.23134194619968684,-1.5290826101780066,-1.5290826101780066,0.216358072797459,0.216358072797459,0.6218475064125184,0.6218475064125184,-0.05288082926871218,-0.05288082926871218,-0.11876322005201183,-0.11876322005201183,-0.10046225497151952,-0.10046225497151952,-0.23690151647800878,-0.23690151647800878,0.07829335633946218,0.07829335633946218,-0.09885652516674258,-0.09885652516674258,-0.28649702542379823,-0.28649702542379823,-1.3434801571320607,-1.3434801571320607,-0.9525833888025379,-0.9525833888025379,0.06446916024339354,0.06446916024339354,-0.25669787558118806,-0.25669787558118806,-0.16249935288827255,-0.16249935288827255,0.5224201971393568,0.5224201971393568,0.2695572901125735,0.2695572901125735,-0.9010316467667316,-0.9010316467667316,-0.21871369905234786,-0.21871369905234786,-0.1741806318426727,-0.1741806318426727,-0.4535940988614093,-0.4535940988614093,-0.4112097257181687,-0.4112097257181687,-0.3239773113801197,0.12313753208808662,0.20996873351152012,-0.21845890877303267,0.10816902642191575
HONHAI 4 1/4 03/12/29,100.172,4.188907898,62.1083107,4.25,HONHAI,IG,0.640912337,0.485492642,38.16676461,19.047197,0.047731942,-0.040130525,0.402395953,15.45781323,6.735495933,67.38936566,-4.855506176,37.2242622,0.636998868,-0.60826817,0.522576764,0.174097479,5.124996006,19.80445212,18.13499125,-7.023955471,-12.87440695,3.694187535,7.087871392,26.94226695,25.50036656,-29.01480243,-27.87224318,93.050052,10.39169717,7.551051156,75.73627864,13.67520989,-4.624842472,-14,17.0733107,31.5506893,3.085557837,0.05979334823647883,0.05979334823647883,0.03165430632128054,0.03165430632128054,0.6041328435238894,0.6041328435238894,2.339696497670301,2.339696497670301,0.08007559166325581,0.08007559166325581,-0.012778316479345677,-0.012778316479345677,-0.4227374922279396,-0.4227374922279396,0.08872970627732642,0.08872970627732642,0.23051313687773234,0.23051313687773234,-0.4693670130636059,-0.4693670130636059,-0.6038213490247979,-0.6038213490247979,0.013735905462408797,0.013735905462408797,0.1651051773627577,0.1651051773627577,-0.2837489398137262,-0.2837489398137262,0.145214984775928,0.145214984775928,0.01131943133015792,0.01131943133015792,-0.5230677876185303,-0.5230677876185303,0.11841809464796368,0.11841809464796368,1.0922176860482051,1.0922176860482051,-0.21982368829485455,-0.21982368829485455,-0.19023998325001742,-0.19023998325001742,0.020708556269471524,0.020708556269471524,0.008091926464226554,0.008091926464226554,2.2440419626192063,2.2440419626192063,2.3705613207655807,2.3705613207655807,-0.38962177919095475,-0.38962177919095475,-0.19763602594970903,-0.19763602594970903,-0.25729285741963964,-0.25729285741963964,1.2777120031002072,1.2777120031002072,1.7707696874339465,1.7707696874339465,3.872085033921376,3.872085033921376,-0.12112995807997136,-0.12112995807997136,-0.13416858918927346,-0.13416858918927346,-1.6782598018957167,-1.6782598018957167,0.35622048102610826,0.35622048102610826,-0.8357972192252431,-0.8357972192252431,-0.20228560021213568,-0.20228560021213568,-0.42145910392117425,-0.42145910392117425,-0.4826791173499753,-0.4826791173499753,-0.4101465183478489,-0.4101465183478489,0.0036117935320271366,-0.19733708697977492,-0.05241870407733108,-0.1585558819799118,-0.0802437251615383
KOREAN 4 09/30/30,99.013,4.235843528,46.72870255,4.0,KOREAN,IG,2.205948085,0.456033786,78.49424769,2.859259988,1.052284407,0.028013693,2.401990678,12.34320759,15.93969657,189.5355166,-10.3033515,23.11606282,4.107712817,14.12457361,-9.314630848,-2.074534612,7.610429366,26.00354712,-2.125326853,-3.851513795,-41.13438933,-1.308228819,-1.324090275,-4.43649351,-0.743654018,247.8957635,79.97513889,49.4777466,-17.80425031,-3.427543029,24.71027196,260.9221924,62.57099672,-3,1.866702545,2.956297455,4.637919233,0.23187270781800856,0.23187270781800856,0.026504145135211852,0.026504145135211852,1.573104775328939,1.573104775328939,0.20268677562768708,0.20268677562768708,0.2649286867258052,0.2649286867258052,0.016619856002383356,0.016619856002383356,0.329619392042568,0.329619392042568,0.08756571921415367,0.08756571921415367,0.5426975854053582,0.5426975854053582,0.23099172886320404,0.23099172886320404,-1.3992242085244124,-1.3992242085244124,-0.6684307570875544,-0.6684307570875544,0.6224357803822689,0.6224357803822689,0.4453917847900121,0.4453917847900121,-0.4328950814432063,-0.4328950814432063,-0.2015863959055599,-0.2015863959055599,-0.3867444523836996,-0.3867444523836996,0.20145840218596617,0.20145840218596617,-0.5770862867934391,-0.5770862867934391,-0.16986430680629488,-0.16986430680629488,-0.5385462088963002,-0.5385462088963002,-0.03665096509729975,-0.03665096509729975,-0.0977969727465432,-0.0977969727465432,-0.5646745756094558,-0.5646745756094558,-0.17925022308917424,-0.17925022308917424,1.0037349926317052,1.0037349926317052,0.08005560886698862,0.08005560886698862,-0.29555988243964915,-0.29555988243964915,-1.9311283390859708,-1.9311283390859708,-0.7782713610148927,-0.7782713610148927,0.5094935622844643,0.5094935622844643,1.4434252172481816,1.4434252172481816,0.052322137942299674,0.052322137942299674,0.33903019721976735,0.33903019721976735,0.2685741998142531,0.2685741998142531,-0.9662660743082201,-0.9662660743082201,-0.23016570400784786,-0.23016570400784786,-0.5625519574937954,-0.5625519574937954,-0.47511880042316,-0.47511880042316,-0.43475938716630014,-0.43475938716630014,-0.21676735942019357,0.27165615022184464,-0.4555258902943914,-0.11980599528069018,-0.23791660053420272
JFCPM 4 3/4 06/24/30,101.347,4.406453719,62.2207222,4.75,JFCPM,HY,0.641721942,-0.000883458,24.71083681,-0.460097432,0.26304992,0.066440373,0.614075881,54.44601819,-0.035047666,170.0553952,-8.41082128,29.19105539,-1.434562508,-7.904889789,-0.125985489,-0.569671461,8.48764164,12.96755331,-3.026210334,-1.406217298,-8.840414309,0.337985615,0.806034881,-0.976770554,-0.500171975,-34.75950016,-6.876446423,126.818008,2.962440383,1.764172191,19.45777095,-4.026013065,1.937426161,0,2.690722198,103.7862778,4.369609856,0.059882366209449756,0.059882366209449756,-0.05337667085079509,-0.05337667085079509,0.28081942649932073,0.28081942649932073,-0.2355098316494433,-0.2355098316494433,0.11969740938077036,0.11969740938077036,0.03319755253622878,0.03319755253622878,-0.34309192750347506,-0.34309192750347506,0.10330033621741971,0.10330033621741971,0.0008725083163166437,0.0008725083163166437,0.11929706463275105,0.11929706463275105,-1.1229087371497275,-1.1229087371497275,-0.37468969950315817,-0.37468969950315817,-0.10786125755504199,-0.10786125755504199,-0.6448648775182416,-0.6448648775182416,0.10710047283133035,0.10710047283133035,-0.05910237847889412,-0.05910237847889412,-0.33863030664751687,-0.33863030664751687,0.026834052172634106,0.026834052172634106,-0.6513125830566766,-0.6513125830566766,-0.13135595487331464,-0.13135595487331464,-0.14052074662140665,-0.14052074662140665,-0.01777487296118519,-0.01777487296118519,-0.07098317866627957,-0.07098317866627957,-0.25499436703035144,-0.25499436703035144,-0.15559404121271375,-0.15559404121271375,-0.41852791159975994,-0.41852791159975994,-0.14357484232314527,-0.14357484232314527,-0.22763642301103976,-0.22763642301103976,0.432225292377122,0.432225292377122,0.42715576240661085,0.42715576240661085,0.1633560482956807,0.1633560482956807,-0.23314159803097717,-0.23314159803097717,-0.11595611854054641,-0.11595611854054641,0.8892001969785357,0.8892001969785357,0.44507671952820504,0.44507671952820504,-0.5748595090592893,-0.5748595090592893,-0.22865492966414303,-0.22865492966414303,-0.06502818676058529,-0.06502818676058529,-0.44763718113085504,-0.44763718113085504,-0.40996661977850946,-0.40996661977850946,-0.15697625312034513,1.2861240554613573e-05,-0.05012183484790822,-0.25603806198897355,-0.05361632356665805
LGCHM 2 3/8 07/07/31,89.256,4.643779099,87.43815613,2.375,LGCHM,IG,0.400910742,0.0,29.19265082,0.0,-0.011431989,-0.171703242,1.539789927,15.61646701,0.0,72.65539379,-4.192046589,46.94433464,-0.6159958765931034,20.71123151,9.398173907,0.0,8.85010471,-8.474856985,0.0,0.0,-22.37406799,3.344358322,0.0,1.921197324,0.0,-30.37400337,0.0,71.76215793,7.472459163,0.0,35.31082853,14.09676977,0.0,-14,0.092156128,54.79084387,5.404517454,0.03340460867003561,0.03340460867003561,-0.0532222198055433,-0.0532222198055433,0.38850658293915274,0.38850658293915274,-0.17477122829671363,-0.17477122829671363,0.06918851891945729,0.06918851891945729,-0.06954024789157087,-0.06954024789157087,0.005212319685417327,0.005212319685417327,0.08878899819700696,0.08878899819700696,0.0020612412344591827,0.0020612412344591827,-0.4391727842017431,-0.4391727842017431,-0.5069541251450339,-0.5069541251450339,0.4837256750667763,0.4837256750667763,0.0,0.0,0.7713710212223562,0.7713710212223562,0.6668134153930585,0.6668134153930585,-0.0051645314908405375,-0.0051645314908405375,-0.3187495987608826,-0.3187495987608826,-0.260398898000388,-0.260398898000388,-0.40197469470177327,-0.40197469470177327,-0.10921094682538934,-0.10921094682538934,-0.3073239586492067,-0.3073239586492067,0.01669728755495335,0.01669728755495335,-0.08112946197727004,-0.08112946197727004,0.004403078466895642,0.004403078466895642,-0.10699842790044804,-0.10699842790044804,-0.3964609975777875,-0.3964609975777875,-0.12586897304490086,-0.12586897304490086,-0.2759887783153011,-0.2759887783153011,0.9454880658854974,0.9454880658854974,0.01754527352133235,0.01754527352133235,1.2080655932182134,1.2080655932182134,-0.11846236761933532,-0.11846236761933532,-0.12133311833507592,-0.12133311833507592,-1.6782598018957167,-1.6782598018957167,-0.46927288024103303,-0.46927288024103303,-1.8143136323475701,-1.8143136323475701,-0.2334191933982483,-0.2334191933982483,-0.3067855783038263,-0.3067855783038263,-0.4094091848820166,-0.4094091848820166,-0.3696097142446678,-0.3696097142446678,-0.08625488603292156,-0.505823028034193,-0.0045097363072513375,-0.10414787172204973,-0.14209983169783727
TAISEM 3 1/8 10/25/41,81.619,4.804640929,59.752388,3.125,TAISEM,IG,-0.098256538,-0.098779307,-0.992187919,-6.082742507,-0.016457809,-0.009200031,0.021100618,0.0,-2.176772157,18.18698559,4.22750878,68.83623445,0.253624948,0.405276425,0.862191764,2.475409733,23.25109401,23.23876584,0.0,12.65609833,19.80368743,-8.846309335,-2.441277737,13.79142551,0.0,-43.12997846,-37.63685014,2021.424711,8.070130741,6.353479757,13.7869857,35.78913042,8.629824221,0,53.205388,11.593612,15.70704997,-0.02148000720932902,-0.02148000720932902,-0.07049136810166733,-0.07049136810166733,-0.33676212391595245,-0.33676212391595245,-0.9777691559823037,-0.9777691559823037,0.06826369078494342,0.06826369078494342,0.0005654421585050792,0.0005654421585050792,-0.5662016485596579,-0.5662016485596579,0.082952828975884,0.082952828975884,-0.07176965861268152,-0.07176965861268152,-0.7514824685277479,-0.7514824685277479,0.7223279153554856,0.7223279153554856,1.5422536861917424,1.5422536861917424,0.11458858953907079,0.11458858953907079,-0.2335877657882421,-0.2335877657882421,0.16517337722659772,0.16517337722659772,0.22921314152250455,0.22921314152250455,0.4711291095771721,0.4711291095771721,0.16442262716291647,0.16442262716291647,-0.40197469470177327,-0.40197469470177327,0.09009637201629934,0.09009637201629934,0.21251977653192788,0.21251977653192788,-0.1230853319760596,-0.1230853319760596,-0.11186001240913866,-0.11186001240913866,1.0669085990742642,1.0669085990742642,-0.10699842790044804,-0.10699842790044804,-0.4606464294812622,-0.4606464294812622,-0.22277849689355567,-0.22277849689355567,1.436286599679854,1.436286599679854,1.0135060912497746,1.0135060912497746,1.4927141729428346,1.4927141729428346,-0.2103462137433442,-0.2103462137433442,0.018804808608668226,0.018804808608668226,-0.09738249559795327,-0.09738249559795327,0.8892001969785357,0.8892001969785357,-1.0468006193393438,-1.0468006193393438,-1.4229070670986395,-1.4229070670986395,-0.13604031689775842,-0.13604031689775842,-0.5199329935037831,-0.5199329935037831,-0.3834978161366204,-0.3834978161366204,-0.41391683653775097,-0.41391683653775097,0.184659125828044,0.10165596237137273,0.43560632410385447,0.20549707497029962,0.31447665392936247
PENOMX 5.65 09/12/49,95.742,5.988881224,119.5687332,5.65,PENOMX,IG,-0.847481029,-0.090874309,7.170573329,5.762411094,-0.455615856,-0.154181786,0.131414121,-7.407627559,-0.263402111,50.8477007,1.456088239,56.45368668,-3.622144324,0.167733568,2.307714702,3.846399432,8.259498747,14.21855038,-4.81596978,28.02911429,42.45556037,15.59222924,9.347922193,2.883760554,1.968364387,19.18525152,-21.47740672,14.33850791,6.356550697,4.578641534,22.56289046,77.83116218,4.190568319,0,7.015733215,128.5152668,23.58932238,-0.10385900127309756,-0.10385900127309756,-0.06910937234882646,-0.06910937234882646,-0.14063070357297086,-0.14063070357297086,0.585938954919078,0.585938954919078,-0.01254814039161394,-0.01254814039161394,-0.061981297172978345,-0.061981297172978345,-0.5246956761881589,-0.5246956761881589,0.08018445838772893,0.08018445838772893,-0.006872727722387613,-0.006872727722387613,-0.5642132245209868,-0.5642132245209868,0.3176916431992079,0.3176916431992079,0.9435265872466467,0.9435265872466467,-0.3961155262060357,-0.3961155262060357,-0.2453439614675133,-0.2453439614675133,0.250123435654668,0.250123435654668,0.3590217025430112,0.3590217025430112,-0.35114369790733446,-0.35114369790733446,0.04359185011280763,0.04359185011280763,-0.7987758429349244,-0.7987758429349244,0.33218951269894514,0.33218951269894514,0.4917056677847931,0.4917056677847931,0.15713582043651234,0.15713582043651234,0.03654121106060493,0.03654121106060493,0.09056222636052152,0.09056222636052152,0.08424354364001446,0.08424354364001446,-0.14708906344609093,-0.14708906344609093,-0.1811702336710405,-0.1811702336710405,-0.32642063478658184,-0.32642063478658184,0.8184920815715172,0.8184920815715172,1.080627214581235,1.080627214581235,0.36798206279490864,0.36798206279490864,0.2848427505227145,0.2848427505227145,-0.10970290220410622,-0.10970290220410622,0.8892001969785357,0.8892001969785357,0.021213556290542928,0.021213556290542928,-0.10517163076057207,-0.10517163076057207,-0.22072536675027846,-0.22072536675027846,0.056991670940499554,0.056991670940499554,-0.19274226544506187,-0.19274226544506187,-0.31818930933109735,-0.31818930933109735,-0.14324413304586955,0.03645579061196532,0.30152566262736896,-0.100433259817602,0.16854272527253225
PKX 5 3/4 05/07/35,104.79,5.092575178,87.07939148,5.75,PKX,IG,0.201957079,0.0,12.68932885,0.0,-0.422070425,-0.398105366,0.981354405,2.613798996,0.0,46.39460742,1.056260601,60.48360358,-0.6159958765931034,6.870967249,3.491777817,0.0,3.635440412,-2.233970084,0.0,0.0,9.068148719,-1.479533187,0.0,2.103492135,0.0,-1.128077471,0.0,58.92721512,0.33678274,0.0,42.25460538,12.31327873,0.0,-11,0.0,77.42760852,9.237508556,0.01152918572254683,0.01152918572254683,-0.0532222198055433,-0.0532222198055433,-0.008028349299212511,-0.008028349299212511,-0.17477122829671363,-0.17477122829671363,-0.006375265443208747,-0.006375265443208747,-0.1672126386963462,-0.1672126386963462,-0.2049016619854907,-0.2049016619854907,0.08392965511977998,0.08392965511977998,0.0020612412344591827,0.0020612412344591827,-0.5897462665633472,-0.5897462665633472,0.25931552793559165,0.25931552793559165,1.1383831304511485,1.1383831304511485,0.0,0.0,0.08640470836395786,0.08640470836395786,0.31970810163094243,0.31970810163094243,-0.0051645314908405375,-0.0051645314908405375,-0.6047683030537057,-0.6047683030537057,-0.17679876482466939,-0.17679876482466939,-0.40197469470177327,-0.40197469470177327,-0.10921094682538934,-0.10921094682538934,0.08020352387374166,0.08020352387374166,-0.03861520314970822,-0.03861520314970822,-0.08112946197727004,-0.08112946197727004,0.020720308433377525,0.020720308433377525,-0.10699842790044804,-0.10699842790044804,-0.2493015392063199,-0.2493015392063199,-0.12586897304490086,-0.12586897304490086,-0.28726096309257615,-0.28726096309257615,0.13341227410192008,0.13341227410192008,0.01754527352133235,0.01754527352133235,1.665657443648313,1.665657443648313,-0.12974812774654146,-0.12974812774654146,-0.12133311833507592,-0.12133311833507592,-1.1280898021369483,-1.1280898021369483,0.7054444039220104,0.7054444039220104,-0.052984088727381466,-0.052984088727381466,-0.23358815431233654,-0.23358815431233654,-0.19508934998628583,-0.19508934998628583,-0.33711782344184776,-0.33711782344184776,-0.37018386588631075,-0.37018386588631075,-0.1948712919874855,-0.3757716618973905,0.23800242423210638,-0.22012435788907192,0.01962784526679337
